Name,Type,Name (ar),Caza,Investment Authorization Nb,Phone
Al-Hanan Hospital,Private Hospitals,مستشفى الحنان,Tripoli,1067/1 - 20/10/1994,06/200526/7
Al-Rasoul Al-Aazam Hospital,Private Hospitals,مستشفى  الرسول الاعظم,Baabda,,01/ 456456 -  452700
Al-Zahraa Hospital University Medical Center,Private Hospitals,مستشفى الزهراء الجامعي,Baabda,1/408 - 17/08/1978,01-851040
Alaa-El-Dine Hospital,Private Hospitals,مستشفى علاء الدين,Saida,507/1-14/12/1978,07/443200/1/2
AlCheick Harb Hospital,Private Hospitals,مستشفى الشيخ راغب حرب,El Nabatieh,yes,07/766799
Alerfan Hospital,Private Hospitals,مركز العرفان الطبي,Al Chouf,20/4/1982   999/1,05-500877          05-501660
Alhamid Medical Center-Ghandour Hospital,Private Hospitals,مستشفى الحميد الطبي-مستشفى غندور,El Nabatieh,65/1-22/2/1992,07/760455 – 07/762542
Aljanoub Hospital,Private Hospitals,مستشفى الجنوب,Saida,157/1-23/8/1969,07/722555
Alraai Hospital,Private Hospitals,مستشفى الراعي,Saida,105/1-21/8/1984,07/222023/4/5/6
American University of Beirut   Medical Center,Private Hospitals,المركز الطبي في الجامعة الأميركية في بيروت,Beirut,____,01-350000/01-340460
Arz Hospital,Private Hospitals,مستشفى الارز,El Meten,2355/10/12/1982,01/876770?4
Azounieh Hospital,Private Hospitals,مستشفى العزونية - مصح الارمن,Aley,,05-220160
BaakleenHospital,Private Hospitals,مركز بعقلين الطبي,Al Chouf,25/10/1980,05-300882/3
Bahmad & el-fakih Hospital,Private Hospitals,مستشفى بحمد والفقيه,Rachaya,1/342 - 26/11/1991,08-591108
Bahman Hospital,Private Hospitals,بهمن,Baabda,رقم 1/4 بتاريخ 5/1/1999,01-545000       01-544000
Batroun Hospital,Private Hospitals,مستشفى البترون,El Batroun,لصالح الصندوق الوطني للضمان الاجتماعي,06-741970-1-2
Bchamoun Speciality Hospital,Private Hospitals,مستشفى بشامون التخصصي,Aley,829/ 27-8-2010,05-270970
Beirut Eye Specialist Hospital,Private Hospitals,مستشفى بيروت التخصصي للعيون,Beirut,,
Beirut General Hospital,Private Hospitals,مستشفى بيروت  - نوفل,Beirut,1/110     8/2/1974,01-850236/01-850213/01-823663
Bekaa Hospital,Private Hospitals,البقاع,Zahle,,08/543150/2
Bekhaazi Hospital,Private Hospitals,بخعازي,Beirut,,
Belle Vue Hopital,Private Hospitals,مستشفى بلفو,El Meten,66942--17/6/2009,01/682666
Borj Hospital,Private Hospitals,مستشفى البرج,Baabda,1/961 - 8/10/2010,01/474719
Centre Hopital de Behannss,Private Hospitals,مستشفى بحنس,El Meten,203/1---1976,04/984009
Centre Hospitalier du Nord,Private Hospitals,مستشفى مركز الشمال الاستشفائي,Zgharta,18/6/1996.854/1,06/555230/1/2/3
Child & Mother Welfare Society,Private Hospitals,جمعية العناية بالطفل والام,Beirut,,01-788770
Chtoura Hospital,Private Hospitals,مستشفى شتورة,Zahle,1/1188-18/11/1994,08/544022/3/4/5/6
CHU Notre Dame de Secours Hospital,Private Hospitals,مستشفى سيدة المعونات,Jbeil,3749-5/11/2011,09-541700 - 1279 - 944255
Clemenceau Medical Center,Private Hospitals,مركز كليمنصو الطبي,Beirut,917/1    20/11/2007,01-372888
Clinique DE Chirugie Estetque Dr Nader Saab,Private Hospitals,مستشفى الدكتور نادر صعب,El Meten,517--15/6/2009,04/411111
Clinique Dr. Georges Moarbes,Private Hospitals,مستشفى الدكتور جورج معربص,Baabda,1/243,01-389292/3/4/5
Clinique du Levant SM,Private Hospitals,شركة مستشفى المشرق المؤسسة الطبية ش. م.ل,El Meten,281/1---2/4/2009,01/501500
Dalaa Hospital,Private Hospitals,مستشفى دلاعة,Saida,492/1-30/11/1978,03-900404               07-724088/ 07723400
Dar Al Amal Hospital,Private Hospitals,دار الامل الجامعي,Baalabak,,08/340620/3
Dar Al Hikma Hospital,Private Hospitals,دار الحكمه,Baalabak,,08/379136/7/8
Dar Al shifa hospital,Private Hospitals,مستشفى دار الشفاء,Tripoli,503/1-24/6/2008,06/429595
Dar Al Zahraa Hospital,Private Hospitals,مستشفى  دار الزهراء,Tripoli,4265/2000,06/444529
Dar Al-Ajaza Al-Islamia Hospital,Private Hospitals,مستشفى دار العجزة الإسلامية,Beirut,2306 / 56              14  / 05 /1957,01-856658/03-692005
Dr Hamed Farhat Hospital,Private Hospitals,مستشفى الدكتور حامد فرحات,West Bekaa,1/775..../9/10/2009,08/660101/2-08/ 660233
Ehden Hospital,Private Hospitals,مستشفى اهدن الخيري,Zgharta,29/1/2002.7313,6561702
El Bissar Hospital,Private Hospitals,مستشفى  البيسار,Tripoli,66/1-3/4/1986,06/432267  430365/430355
El Youssef Hospital Center,Private Hospitals,مركز اليوسف الاستشفائي,Akkar,رقم 1/2038 تاريخ 20/12/1995,06/555230-
Eye & Ear Hospital International,Private Hospitals,مستشفى العين والاذن ش . م. ل.,El Meten,(1/1498)11/9/1995,04/521130
Fouad Khoury Hospital & Associates S.A.L.,Private Hospitals,مستشفى فؤاد خوري وشركاه ش.م.ل.,Beirut,299/1    23/8/1977,01-742140
Ghossein Hospital,Private Hospitals,مستشفى غصين,El Nabatieh,1/168-1/2/2003,03/224402
Hammoud Hospital University Medical Center,Private Hospitals,مستشفى حمود مركز طبي جامعي,Saida,756/1-2/1/1967,07/  723111 - 723888
Haroun Hospital,Private Hospitals,مستشفى هارون,El Meten,09/12/1985 - n 4/2-1/203,01/897300-1-2-3-4
Health Medical Center- Osseiran Hospital,Private Hospitals,مستشفى عسيران,Saida,11543-20/5/2011,07726078-79
Hiram Hospital,Private Hospitals,مستشفى حيرام,Sour,1/814         5/10/1999,07/343700/10/11
Hopital  Beit Chabab,Private Hospitals,مستشفى بيت شباب,El Meten,1987/07/09  --قرار رقم 119,04-983393/4       04-981577
Hopital Abou Jaouke,Private Hospitals,مستشفى ابو جوده,El Meten,258-7-3----1961,04/718000 – 716000
Hopital Al Borgi,Private Hospitals,مستشفى البرجي,El Koura,64/1-02/04/1986,651025/6 - 06/950030
Hopital Al Koura,Private Hospitals,مستشفى الكورة,El Koura,222/1-28/2/1994,06/ 930981/005
Hopital Albert Haykel sal,Private Hospitals,مستشفى البير هيكل ش م ل,El Koura,948-27/11/1999,06/411411
Hopital Dr Toni Nassar Sal,Private Hospitals,مستشفى دكتور طوني نصار,El Meten,233/1--8/3/2010,03/233821
Hopital Francais - St Lourdes,Private Hospitals,مستشفى سيدة لورد,Baabda,"1964,  1972",05/451100 – 953444
Hopital Hayek,Private Hospitals,مستشفى الحايك,El Meten,1/36-19/1/1974,01/499142
Hopital Maritime Jbeil,Private Hospitals,مستسفى سيدة مارتين ـ جبيل,Jbeil,1981,09/540017
Hopital Notre Dame de la Paix,Private Hospitals,مستشفى سيدة السلام للراهبات الانطرنيات,Akkar,رقم 1/476 تاريخ 29/7/1998,06/351670
Hopital Notre dame pour les Malade Cronique,Private Hospitals,مستشفى السيدة للامراض المزمنه,El Meten,692/1Dated 17 /12/1971,04/713100
Hopital Saint Charles,Private Hospitals,مستشفى سان شارل,Baabda,1/65 - 21/02/1981,05/451100 – 953444
Hopital Saint- Michel Amchit,Private Hospitals,مستشفى مار ميخائيل,Jbeil,24/57-31/1/1966,09/621033/34
Hospital  Almarkazi,Private Hospitals,مستشفى مزبود المركزي,Al Chouf,1791/1  29/11/2000,07/970777
Hospital al Hajj,Private Hospitals,مستشفى الحاج,Kesseroune,"207/1,6/7/1977",09/951755
Hospital MGR Cortbawi,Private Hospitals,مستشفى المنسنيور قرطباوي,Kesseroune,"767/1, 7/6/1996",09/855410/1/2/3/4/5/6
Hospital Saydet Zgharta,Private Hospitals,مستشفى سيدة زغرتا,Zgharta,.18/1/1984.16/r,06/660575             06/669300
Hotel Dieu Hospital,Private Hospitals,مستشفى اوتيل ديو,Beirut,,01-615300_01-615400
Hpiatal DAR AL Raheme?,Private Hospitals,مستشفى دار الرحمه,El Meten,1/165---21/3/1979,04/872211
Iben Sinna Hospital,Private Hospitals,ابن سينا,Hermel,,08/377811-08/376811
Islamic Hospital,Private Hospitals,مستشفى الإسلامي الخيري,Tripoli,19969 - 22/7/1958,06/210179
Jeatawi Hospital,Private Hospitals,مستشفى الجعيتاوي,Beirut,,01-577177_01_577277
Kalout Hospital,Private Hospitals,كالوت,El Nabatieh,,
Kassab Hospital,Private Hospitals,مستشفى قصب,Saida,59/1-22/3/1990,07/723900 - 07/723700
Kesserwan Medical Center,Private Hospitals,مركز كسروان الطبي,Kesseroune,,
Kharroubi Hospital,Private Hospitals,مستشفى الخروبي,Saida,852/1-7/9/1998,07/443344 – 442224
Khoury General Hospital,Private Hospitals,مستشفى خوري العام - مركز الاطباء,Zahle,835/b-10/05/1993,08/811181 –08/ 807000
Labib Medical center,Private Hospitals,مركز لبيب الطبي,Saida,2245/1-24/12/1996,07-723444
Lebanese Ophthalmic Hospital,Private Hospitals,مستشفى العيون اللبناني,Aley,429 - 3/12/1981,05-557355
Lebanise--Canadian Hospital,Private Hospitals,المستشفى اللبناني الكندي,El Meten,216631-14-9/2001,01/511487?9
Libano-Francais Hospital,Private Hospitals,اللبناني الفرنسي,Zahle,122/1 - 12/2/1992,08-810212 ext 323
Makasid Hospital,Private Hospitals,المقاصد,Beirut,,01-636000
Medical 2000 Hospital,Private Hospitals,مستشفى ميديكال 2000,Aley,25- 10/1/2001,05-432525
Middle East Institutd Of Health,Private Hospitals,مركز الشرق الاوسط الصحي,El Meten,قرار رقم 1/476 تاريخ 18/ اب 2003,04/712111
Miniyeh Hospital,Private Hospitals,مستشفى المنية,El Minieh-Dennie,غير مرخصة لعدم توافر الشروط الصحية المطلوبة وانتحال صفة طبيب من الطبيب السابق,
Mortada Hospital,Private Hospitals,مرتضى,Baalabak,,08/377880
Mount Lebanon Hospital,Private Hospitals,مستشفى جبل لبنان,Baabda,1/544 - 26/08/1998,05-957000
Najem Hospital,Private Hospitals,اللبناني الايطالي  نجم,Sour,,07/741595
Najjar Hospital,Private Hospitals,مستشفى نجـــار,Beirut,165/1   -    25/10/1980,01-340626/01-346914
New Mazloum Hospital,Private Hospitals,مستشفى المظلوم الجديدة,Tripoli,134./1 - 7/3/2006,06/410025
Nine Hospital,Private Hospitals,مستشفى النيني,Tripoli,2114/1-17/11/1998,06/431400/1/2
Notre Dame de Liban Hospital,Private Hospitals,مستشفى سيدة لبنان,Kesseroune,"4/2, 4/1/1973",09-644644
Osman Hospital,Private Hospitals,مستشفى عثمان,Al Chouf,270/1 1/6/2001,07/970000
Palestinian Red Crescent Society Nazareth Hospital,Private Hospitals,"جمعية الهلال الاحمر الفلسطيني 
مستشفى الناصرة",Zahle,1978 لا يوجد,08/510793
Psychiatric Hospital of the Cross,Private Hospitals,مستشفى الصليب للآمراض العقلية والنفسيه,El Meten,693/1-17/12/1971,04/710224
Rayak Hospital,Private Hospitals,مستشفى رياق ش م ل,Zahle,1/1720 - 2/10/1995,08/901300/5
Rida Mroue Hospital,Private Hospitals,رضا مروه,Sour,1/6             10/01/1982,07/740343  -07/ 740198
Rosaire Hospital,Private Hospitals,راهبات الوردية,Beirut,,01/447980 – 01/581140
SACH Medical Co.Bitar Hospital,Private Hospitals,مستشفى بيطار,El Meten,404/1---23/6/2004,03-774737          01-682300
Sacre Coeur Hospital,Private Hospitals,مستشفى قلب يسوع,Baabda,1/366 - 24/09/1970,05/456293/4-457112/3
Sahel General Hospital,Private Hospitals,مستشفى الساحل,Baabda,1/15   26/01/79,01-858333/40
Saint George Hospital University Medical Center,Private Hospitals,مستشفى القديس جاورجيوس الجامعي,Beirut,1014 / 58     28 / 1 / 1959,0 1-44 1000 -1287
Saint Joseph Hospital,Private Hospitals,مستشفى مار يوسف,El Meten,706-29/4/1952,01-240111
Sainte Therese Hospital,Private Hospitals,مستشفى القديسة تريزيا,Baabda,1/29 - 23/02/1987,05/466780/2 - 463100
Salman Zainndine,Private Hospitals,العقيد الطبيب سلمان زين الدين,Sour,8377          30/12/1961,07/740293  07/343640
Secours Populaire Hospital,Private Hospitals,مستشفى النجدة الشعبية,El Nabatieh,147/1-2/7/1986,07/530970/1/2/3
Serhal Hospital,Private Hospitals,مستشفى سرحال,El Meten,323/1---16/10/82,03-410100         04-405050
Shahin Hospital,Private Hospitals,مستشفى شاهين,Tripoli,130/1-18/3/2003,06/625796         06/ 430250
Social Services Association - Dar Al Ajaza Hospice,Private Hospitals,جمعية الخدمات الاجتماعية - دار العجزة,Tripoli,244/1-16/5/2003,06/446330
Specialized Hospital Haidar and Hajjar,Private Hospitals,مستشفى حيدر و حجار,Beirut,1001477       2/7/2003,01-632091/01-650547
Specialized Medical Rehabilitation Hospital,Private Hospitals,مؤسسة الدكتور محمد خالد الإجتماعية,Baabda,108/1 -dated 14/04/1971,01-851934/5       01-852933
St Georges Hadath Hospital,Private Hospitals,مستشفى جورج حدث,Baabda,1/50 - 25/02/1970,05-463922
St Georges Hospital,Private Hospitals,مستشفى سان جورج,Kesseroune,"3407/1, 1/8/1983",09-234201          09-234212
St Louis Hospital,Private Hospitals,مستشفى سان لويس,Kesseroune,"7616, 3/6/1996",09/933334- 912790 -912970
Taanayel General Hospital,Private Hospitals,مستشفى تعنايل العام,Zahle,1/4-7/1/1997,08/545199 - 08/545100
Tal Chiha Hospital,Private Hospitals,مستشفى تل شيحا,Zahle,18/09/1936 لا يوجد,08/807782/3 - 08/802172
Trad Hospital,Private Hospitals,مستشفى طراد,Beirut,,01-366130
Universal Hospital,Private Hospitals,يونيفرسال,Baalabak,,08/210560 - 210570
University Medical Center - Rizk Hospital,Private Hospitals,المركز الطبي الجامعي -  مستشفى رزق,Beirut,1/52-21/1/1993,01-200800 /  01-328800
West Bekaa Hospital,Private Hospitals,مستشفى البقاع الغربي- سحمرجمعية الهيئة الصحية الإسلامية,West Bekaa,( 780/1    )      تاريخ /2/8/2011,08/635740-1-2-3
